 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.2808E-01 -0.1282E-01 -0.1363E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8101E+03 -0.2035E-03  0.1038E-01  0.1782E+02  0.7589E+01 -0.6589E+01     0.3835E-02 -0.1046E-02 -0.1171E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2859E-01 -0.1306E-01 -0.1390E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8128E+03 -0.4838E-03  0.1057E-01  0.1798E+02  0.7616E+01 -0.6526E+01     0.3848E-02 -0.1049E-02 -0.1175E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2910E-01 -0.1330E-01 -0.1416E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8154E+03 -0.4934E-03  0.1067E-01  0.1812E+02  0.7619E+01 -0.6457E+01     0.3861E-02 -0.1053E-02 -0.1179E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2961E-01 -0.1354E-01 -0.1442E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8181E+03 -0.5503E-03  0.1077E-01  0.1825E+02  0.7619E+01 -0.6395E+01     0.3873E-02 -0.1056E-02 -0.1182E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3012E-01 -0.1378E-01 -0.1469E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8206E+03 -0.5240E-03  0.1089E-01  0.1838E+02  0.7621E+01 -0.6331E+01     0.3885E-02 -0.1060E-02 -0.1186E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3063E-01 -0.1403E-01 -0.1495E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8232E+03 -0.6616E-03  0.1108E-01  0.1850E+02  0.7625E+01 -0.6283E+01     0.3897E-02 -0.1063E-02 -0.1190E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3114E-01 -0.1427E-01 -0.1521E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8257E+03 -0.4654E-03  0.1099E-01  0.1862E+02  0.7609E+01 -0.6249E+01     0.3909E-02 -0.1066E-02 -0.1193E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3165E-01 -0.1451E-01 -0.1548E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8282E+03 -0.7151E-03  0.1152E-01  0.1873E+02  0.7598E+01 -0.6234E+01     0.3921E-02 -0.1069E-02 -0.1197E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3216E-01 -0.1475E-01 -0.1574E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8308E+03 -0.6559E-03  0.1159E-01  0.1882E+02  0.7569E+01 -0.6231E+01     0.3933E-02 -0.1073E-02 -0.1201E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3267E-01 -0.1499E-01 -0.1601E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8335E+03 -0.6116E-03  0.1144E-01  0.1893E+02  0.7501E+01 -0.6224E+01     0.3946E-02 -0.1076E-02 -0.1205E-02     0.0000E+00  0.0000E+00  0.0000E+00
