 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.03829        0.03829       -0.01763       -0.01892      862.11089       -0.00101        0.01213        0.33009        0.66991        5.73452        0.35070        0.64930        5.69304        0.32454        0.67546        4.21343      282.00000        0.00000
        0.03880        0.03880       -0.01787       -0.01919      864.58800       -0.00124        0.01235        0.33029        0.66971        5.74788        0.35078        0.64922        5.71554        0.32578        0.67422        4.21854      282.00000        0.00000
        0.03931        0.03931       -0.01811       -0.01946      867.05897       -0.00128        0.01244        0.32999        0.67001        5.73121        0.35052        0.64948        5.69171        0.32563        0.67437        4.21066      282.00000        0.00000
        0.03982        0.03982       -0.01835       -0.01972      869.51341       -0.00142        0.01272        0.33093        0.66907        5.70335        0.35205        0.64795        5.64801        0.32736        0.67264        4.20978      282.00000        0.00000
        0.04033        0.04033       -0.01859       -0.01999      871.94295       -0.00151        0.01278        0.32918        0.67082        5.70585        0.34911        0.65089        5.65688        0.32754        0.67246        4.21219      282.00000        0.00000
        0.04084        0.04084       -0.01883       -0.02026      874.35524       -0.00147        0.01282        0.33085        0.66915        5.71496        0.35059        0.64941        5.64054        0.32864        0.67136        4.23366      282.00000        0.00000
        0.04135        0.04135       -0.01907       -0.02052      876.73723       -0.00156        0.01300        0.33126        0.66874        5.70296        0.35165        0.64835        5.62663        0.33005        0.66995        4.22989      282.00000        0.00000
        0.04186        0.04186       -0.01931       -0.02079      879.09503       -0.00152        0.01305        0.33040        0.66960        5.68532        0.35031        0.64969        5.59404        0.33021        0.66979        4.23273      282.00000        0.00000
        0.04237        0.04237       -0.01954       -0.02106      881.45050       -0.00162        0.01320        0.33075        0.66925        5.68020        0.35090        0.64910        5.57515        0.33019        0.66981        4.24007      282.00000        0.00000
        0.04288        0.04288       -0.01978       -0.02132      883.80032       -0.00169        0.01326        0.33163        0.66837        5.63504        0.35233        0.64767        5.51122        0.33011        0.66989        4.23963      282.00000        0.00000
        0.04339        0.04339       -0.02002       -0.02159      886.13056       -0.00159        0.01328        0.33167        0.66833        5.62783        0.35220        0.64780        5.50852        0.33230        0.66770        4.24495      282.00000        0.00000
        0.04390        0.04390       -0.02026       -0.02186      888.43112       -0.00180        0.01357        0.33180        0.66820        5.60419        0.35237        0.64763        5.47623        0.33372        0.66628        4.25813      282.00000        0.00000
        0.04441        0.04441       -0.02050       -0.02213      890.71363       -0.00172        0.01355        0.33176        0.66824        5.57801        0.35245        0.64755        5.45500        0.33384        0.66616        4.24359      282.00000        0.00000
        0.04492        0.04492       -0.02074       -0.02239      892.96446       -0.00247        0.01406        0.33146        0.66854        5.58682        0.35208        0.64792        5.46922        0.33368        0.66632        4.26659      282.00000        0.00000
        0.04543        0.04543       -0.02097       -0.02266      895.17550       -0.00247        0.01403        0.33149        0.66851        5.58154        0.35226        0.64774        5.46255        0.33376        0.66624        4.26532      282.00000        0.00000
        0.04594        0.04594       -0.02121       -0.02293      897.36082       -0.00247        0.01409        0.33122        0.66878        5.57609        0.35181        0.64819        5.44674        0.33396        0.66604        4.27016      282.00000        0.00000
        0.04646        0.04646       -0.02145       -0.02320      899.53037       -0.00248        0.01410        0.33102        0.66898        5.57339        0.35150        0.64850        5.44827        0.33399        0.66601        4.26609      282.00000        0.00000
        0.04697        0.04697       -0.02169       -0.02347      901.68312       -0.00255        0.01419        0.33009        0.66991        5.55251        0.35074        0.64926        5.40751        0.33414        0.66586        4.27672      282.00000        0.00000
        0.04748        0.04748       -0.02193       -0.02374      903.82502       -0.00240        0.01420        0.33096        0.66904        5.55327        0.35212        0.64788        5.40453        0.33708        0.66292        4.27963      282.00000        0.00000
        0.04799        0.04799       -0.02216       -0.02401      905.94107       -0.00230        0.01415        0.33144        0.66856        5.54246        0.35290        0.64710        5.38749        0.33778        0.66222        4.28510      282.00000        0.00000
        0.04850        0.04850       -0.02240       -0.02428      908.03649       -0.00233        0.01421        0.32981        0.67019        5.52171        0.35025        0.64975        5.35359        0.33791        0.66209        4.27963      282.00000        0.00000
