 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        wgt_ph
  0.3996E-01 -0.1899E-01 -0.1936E-01 -0.3761E-03 -0.2553E-03  0.2512E-03     0.1138E+04 -0.1023E+03 -0.1483E+03  0.3378E+02  0.1547E+02 -0.2044E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4046E-01 -0.1923E-01 -0.1961E-01 -0.3780E-03 -0.2558E-03  0.2512E-03     0.1140E+04 -0.1023E+03 -0.1485E+03  0.3391E+02  0.1545E+02 -0.2046E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4095E-01 -0.1947E-01 -0.1987E-01 -0.3800E-03 -0.2564E-03  0.2514E-03     0.1143E+04 -0.1023E+03 -0.1488E+03  0.3403E+02  0.1543E+02 -0.2048E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4144E-01 -0.1970E-01 -0.2012E-01 -0.3809E-03 -0.2574E-03  0.2506E-03     0.1145E+04 -0.1023E+03 -0.1491E+03  0.3413E+02  0.1541E+02 -0.2046E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4193E-01 -0.1994E-01 -0.2037E-01 -0.3819E-03 -0.2583E-03  0.2499E-03     0.1148E+04 -0.1023E+03 -0.1493E+03  0.3423E+02  0.1540E+02 -0.2044E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4242E-01 -0.2018E-01 -0.2062E-01 -0.3830E-03 -0.2594E-03  0.2493E-03     0.1150E+04 -0.1023E+03 -0.1496E+03  0.3432E+02  0.1538E+02 -0.2042E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4291E-01 -0.2041E-01 -0.2087E-01 -0.3840E-03 -0.2604E-03  0.2487E-03     0.1153E+04 -0.1023E+03 -0.1499E+03  0.3441E+02  0.1537E+02 -0.2040E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4340E-01 -0.2065E-01 -0.2112E-01 -0.3847E-03 -0.2615E-03  0.2482E-03     0.1155E+04 -0.1023E+03 -0.1501E+03  0.3450E+02  0.1536E+02 -0.2039E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4389E-01 -0.2088E-01 -0.2137E-01 -0.3857E-03 -0.2627E-03  0.2479E-03     0.1157E+04 -0.1023E+03 -0.1504E+03  0.3459E+02  0.1535E+02 -0.2038E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4439E-01 -0.2112E-01 -0.2162E-01 -0.3863E-03 -0.2639E-03  0.2472E-03     0.1160E+04 -0.1024E+03 -0.1506E+03  0.3467E+02  0.1535E+02 -0.2036E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4488E-01 -0.2135E-01 -0.2188E-01 -0.3871E-03 -0.2651E-03  0.2464E-03     0.1162E+04 -0.1024E+03 -0.1509E+03  0.3474E+02  0.1536E+02 -0.2033E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4537E-01 -0.2158E-01 -0.2213E-01 -0.3878E-03 -0.2664E-03  0.2455E-03     0.1164E+04 -0.1024E+03 -0.1511E+03  0.3481E+02  0.1536E+02 -0.2031E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4586E-01 -0.2182E-01 -0.2238E-01 -0.3887E-03 -0.2675E-03  0.2446E-03     0.1167E+04 -0.1024E+03 -0.1514E+03  0.3488E+02  0.1536E+02 -0.2029E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
